"Name","ReturnType","BriefDescription","DetailedDescription","ParamType","ParamName","ParamDescription","infer_prefix","infer_baseType","infer_clrType"
"MXGetLastError","string","return str message of the last error all function in this file will return 0 when success and -1 when an error occured, MXGetLastError can be called to retrieve the error ","this function is threadsafe and can be called by different thread error info ","","","","","",""
"MXLoadLib","int","Load library dynamically. ","pathto the library .so file 0 when success, -1 when failure happens. ","const char*","path","to the library .so file ","","const char*","string"
"MXLibInfoFeatures","int","Get list of features supported on the runtime. ","libFeaturepointer to array of LibFeaturesizeof the array 0 when success, -1 when failure happens. ","const struct LibFeature**","libFeature","pointer to array of LibFeature","","const struct LibFeature**","IntPtr"
"MXLibInfoFeatures","int","Get list of features supported on the runtime. ","libFeaturepointer to array of LibFeaturesizeof the array 0 when success, -1 when failure happens. ","size_t*","size","pointer to array of LibFeature","","size_t*","IntPtr"
"MXRandomSeed","int","Seed all global random number generators in mxnet. ","seedthe random number seed. 0 when success, -1 when failure happens. ","int","seed","the random number seed. ","","int","int"
"MXRandomSeedContext","int","Seed the global random number generator of the given device. ","seedthe random number seed. 0 when success, -1 when failure happens. ","int","seed","the random number seed. ","","int","int"
"MXRandomSeedContext","int","Seed the global random number generator of the given device. ","seedthe random number seed. 0 when success, -1 when failure happens. ","int","dev_type","the random number seed. ","","int","int"
"MXRandomSeedContext","int","Seed the global random number generator of the given device. ","seedthe random number seed. 0 when success, -1 when failure happens. ","int","dev_id","the random number seed. ","","int","int"
"MXNotifyShutdown","int","Notify the engine about a shutdown, This can help engine to print less messages into display. ","User do not have to call this function. 0 when success, -1 when failure happens. ","","","","","",""
"MXSetProcessProfilerConfig","int","Set up configuration of profiler for the process passed as profile_process in keys. ","num_paramsNumber of parameters keysarray of parameter keys valsarray of parameter values kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. ","int","num_params","Number of parameters ","","int","int"
"MXSetProcessProfilerConfig","int","Set up configuration of profiler for the process passed as profile_process in keys. ","num_paramsNumber of parameters keysarray of parameter keys valsarray of parameter values kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. ","const char*const*","keys","Number of parameters ","","const char*const*","IntPtr"
"MXSetProcessProfilerConfig","int","Set up configuration of profiler for the process passed as profile_process in keys. ","num_paramsNumber of parameters keysarray of parameter keys valsarray of parameter values kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. ","const char*const*","vals","Number of parameters ","","const char*const*","IntPtr"
"MXSetProcessProfilerConfig","int","Set up configuration of profiler for the process passed as profile_process in keys. ","num_paramsNumber of parameters keysarray of parameter keys valsarray of parameter values kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. ","KVStoreHandle","kvstoreHandle","Number of parameters ","","KVStoreHandle","KVStoreHandle"
"MXSetProfilerConfig","int","Set up configuration of profiler for worker/current process. ","num_paramsNumber of parameters keysarray of parameter keys valsarray of parameter values 0 when success, -1 when failure happens. ","int","num_params","Number of parameters ","","int","int"
"MXSetProfilerConfig","int","Set up configuration of profiler for worker/current process. ","num_paramsNumber of parameters keysarray of parameter keys valsarray of parameter values 0 when success, -1 when failure happens. ","const char*const*","keys","Number of parameters ","","const char*const*","IntPtr"
"MXSetProfilerConfig","int","Set up configuration of profiler for worker/current process. ","num_paramsNumber of parameters keysarray of parameter keys valsarray of parameter values 0 when success, -1 when failure happens. ","const char*const*","vals","Number of parameters ","","const char*const*","IntPtr"
"MXSetProcessProfilerState","int","Set up state of profiler for either worker or server process. ","stateindicate the working state of profiler, profiler not running when state == 0, profiler running when state == 1 profile_processan int, when 0 command is for worker/current process, when 1 command is for server process kvstoreHandlehandle to kvstore, needed for server process profiling 0 when success, -1 when failure happens. ","int","state","indicate the working state of profiler, profiler not running when state == 0, profiler running when state == 1 ","","int","int"
"MXSetProcessProfilerState","int","Set up state of profiler for either worker or server process. ","stateindicate the working state of profiler, profiler not running when state == 0, profiler running when state == 1 profile_processan int, when 0 command is for worker/current process, when 1 command is for server process kvstoreHandlehandle to kvstore, needed for server process profiling 0 when success, -1 when failure happens. ","int","profile_process","indicate the working state of profiler, profiler not running when state == 0, profiler running when state == 1 ","","int","int"
"MXSetProcessProfilerState","int","Set up state of profiler for either worker or server process. ","stateindicate the working state of profiler, profiler not running when state == 0, profiler running when state == 1 profile_processan int, when 0 command is for worker/current process, when 1 command is for server process kvstoreHandlehandle to kvstore, needed for server process profiling 0 when success, -1 when failure happens. ","KVStoreHandle","kvStoreHandle","","","KVStoreHandle","KVStoreHandle"
"MXSetProfilerState","int","Set up state of profiler for current process. ","stateindicate the working state of profiler, profiler not running when state == 0, profiler running when state == 1 0 when success, -1 when failure happens. ","int","state","indicate the working state of profiler, profiler not running when state == 0, profiler running when state == 1 ","","int","int"
"MXDumpProcessProfile","int","Save profile and stop profiler. ","finishedtrue if stat output should stop after this point profile_processan int, when 0 command is for worker/current process, when 1 command is for server process kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. ","int","finished","true if stat output should stop after this point ","","int","int"
"MXDumpProcessProfile","int","Save profile and stop profiler. ","finishedtrue if stat output should stop after this point profile_processan int, when 0 command is for worker/current process, when 1 command is for server process kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. ","int","profile_process","true if stat output should stop after this point ","","int","int"
"MXDumpProcessProfile","int","Save profile and stop profiler. ","finishedtrue if stat output should stop after this point profile_processan int, when 0 command is for worker/current process, when 1 command is for server process kvstoreHandlehandle to kvstore 0 when success, -1 when failure happens. ","KVStoreHandle","kvStoreHandle","","","KVStoreHandle","KVStoreHandle"
"MXDumpProfile","int","Save profile and stop profiler for worker/current process. ","finishedtrue if stat output should stop after this point 0 when success, -1 when failure happens. ","int","finished","true if stat output should stop after this point ","","int","int"
"MXAggregateProfileStatsPrint","int","Deprecated, use MXAggregateProfileStatsPrintEx instead. ","out_strWill receive a pointer to the output string resetClear the aggregate stats after printing 0 when success, -1 when failure happens. ","const char**","out_str","Will receive a pointer to the output string ","out","const char*","IntPtr"
"MXAggregateProfileStatsPrint","int","Deprecated, use MXAggregateProfileStatsPrintEx instead. ","out_strWill receive a pointer to the output string resetClear the aggregate stats after printing 0 when success, -1 when failure happens. ","int","reset","Will receive a pointer to the output string ","","int","int"
